Trial,Force,Mass (core),R Acceleration (max),Impulse,Force_all,FP,Velocity,KE,EPA,PD,Participant,Technique
30,499.6360423,88,-23.64886963,4.1862,577.463987,577.463987,1.833095837,1.602834646,,,1,anvil
31,521.6910149,85,-24.12493836,3.775,394.5791466,394.5791466,1.5383565,1.128839923,61,10.55,1,anvil
32,224.2385047,9,-16.24038064,1.9202,191.6634994,191.6634994,0.977438562,0.45571919,,,1,anvil
33,318.3955972,44,-21.07467958,2.2735,247.0030564,247.0030564,1.215890784,0.70519222,68,5.45,1,anvil
34,245.8678242,1,-20.11568308,1.7799,189.6091139,189.6091139,1.332803407,0.847326067,,,1,anvil
35,386.9608472,19,-24.63968988,2.6692,322.0588292,322.0588292,1.97806461,1.866376789,69,4.45,1,anvil
36,318.816862,56,-21.27395299,2.3474,231.3081264,231.3081264,1.471503049,1.032858224,63,11.35,1,anvil
37,537.2427106,77,-22.57850721,3.2429,503.3190825,503.3190825,1.696826051,1.373387294,68,16.72,1,anvil
38,,,,,,,,,,,1,anvil
39,314.4374624,8,-18.59851055,2.427,267.8782633,267.8782633,1.473257523,1.035322646,,,1,anvil
40,394.1706203,60,-35.06309018,2.3289,365.0522524,365.0522524,2.133557464,2.171336174,,,1,anvil
41,319.9490115,63,-49.1114872,2.9521,305.5287974,305.5287974,2.002624658,1.913011134,58,10.51,1,anvil
42,262.2664379,16,-18.35213376,2.6813,346.9676985,346.9676985,1.540990687,1.132709146,62,6.79,1,anvil
43,243.3226821,36,-18.1735379,2.3181,242.0456636,242.0456636,1.389382108,0.92079252,63,17.66,1,anvil
44,259.8661057,27,-19.14222498,1.7061,201.8980105,201.8980105,1.392180521,0.924505469,,,1,anvil
45,260.9938669,55,-20.6414735,2.0741,267.9501817,267.9501817,1.511506824,1.089779424,,,1,anvil
46,297.6131956,22,-27.2940222,2.1402,273.8428991,273.8428991,1.711230778,1.39680424,60,7.51,1,anvil
47,331.4021508,39,-20.09602103,2.6991,348.8463984,348.8463984,1.713173035,1.399976801,66,6.58,1,anvil
48,293.7954825,38,-22.47540425,2.6991,220.2274955,220.2274955,1.850946266,1.634202992,,,1,anvil
49,473.622935,67,-22.47540425,4.2029,516.7078988,516.7078988,1.884279041,1.69359208,,,1,anvil
50,489.8811271,102,-24.05961987,4.2607,416.1113926,416.1113926,1.782421909,1.51544229,78,3.98,1,anvil
51,,,,,,,,,,,1,anvil
52,361.7946578,37,-22.37951899,2.8619,327.4393694,327.4393694,1.638017229,1.279838912,,,1,anvil
53,,,,,,,,,,,1,anvil
54,429.7982213,85,-31.5156926,3.4601,388.7667718,388.7667718,1.801717574,1.548430825,69,11.28,1,anvil
55,355.0105377,24,-26.40907569,2.8707,396.2912012,396.2912012,2.031378858,1.96834053,54,4.72,1,anvil
56,426.4061612,82,-35.92503782,3.1222,408.1408393,408.1408393,2.139938589,2.184343827,60,14.54,1,anvil
57,371.549573,59,-35.92503782,2.8953,343.6445499,343.6445499,2.156762155,2.218824168,60,10.99,1,anvil
0,,,-22.07323516,,,,,,,,2,freehand
1,229.7661476,1,-24.61342369,0.4774,229.7661476,,2.24987063,2.383657116,,,2,freehand
2,,,,,,,,,,,2,freehand
3,453.7535523,123,-25.93597695,0.7716,453.7535523,,2.443764095,2.812206772,82,9.25,2,freehand
4,193.8019606,35,-27.46936376,0.3851,193.8019606,,1.884274284,1.671925543,,,2,freehand
5,223.5206889,8,-46.2067312,0.4548,223.5206889,,1.926284018,1.747307469,,11.7,2,freehand
6,286.0097569,65,-32.67718109,0.5149,286.0097569,,1.947909768,1.786760576,,,2,freehand
7,235.6021386,49,-80.06353174,0.502,235.6021386,,2.081897057,2.041019683,68,11.59,2,freehand
8,,,-47.3463927,,,,,,,,2,freehand
9,196.3018681,16,-33.56610936,0.4153,196.3018681,,2.299695963,2.490402457,,,2,freehand
10,,74,-56.46345805,0.5629,,,2.627380157,3.250682265,73,,2,freehand
11,302.2548456,14,-39.58178732,0.5499,302.2548456,,1.998773873,1.881291175,65,15.77,2,freehand
12,230.7402495,58,-44.59798896,,230.7402495,,2.359379383,2.621345408,77,5.98,2,freehand
13,197.1337339,44,-65.03945143,0.3945,197.1337339,,2.544311925,3.048382061,75,8.96,2,freehand
14,335.3053473,65,,0.6001,335.3053473,,2.533452289,3.022415378,,,2,freehand
15,117.0116975,1,-38.84237185,0.2495,117.0116975,,2.332006653,2.560874293,,,2,freehand
16,170.7510891,27,-56.73722675,0.4006,170.7510891,,2.413668341,2.743366799,61,4.86,2,freehand
17,103.5423681,1,-25.28829349,0.2295,103.5423681,,2.125573467,2.127555661,,,2,freehand
18,332.1114999,105,,0.6296,332.1114999,,2.499401473,2.941715936,73,12.86,2,freehand
19,157.2817597,34,,0.3262,157.2817597,,2.484491897,2.906724424,61,6.7,2,freehand
20,145.20031,33,-42.66266345,0.3014,145.20031,,3.250045479,,70,6.3,2,freehand
21,122.4252904,16,-31.13351669,,122.4252904,,2.321503851,2.537859103,,,2,freehand
22,435.8404217,43,-23.3193291,0.7671,435.8404217,,2.438556857,2.800234889,81,16.65,2,freehand
23,171.1691771,43,-72.9408383,0.3763,171.1691771,,2.063686006,2.005468887,,,2,freehand
24,,,-76.82357732,,,,,,,,2,freehand
25,152.2819446,11,,0.3325,152.2819446,,2.163367189,2.203886212,,,2,freehand
26,354.8822094,105,-24.24778637,0.7351,354.8822094,,2.314830137,2.523288719,,,2,freehand
27,253.5152691,37,-24.04214205,0.5467,253.5152691,,2.096388444,2.069532278,,,2,freehand
28,184.3583444,7,,0.4162,184.3583444,,1.57200867,1.163693381,,,2,freehand
29,190.8882753,14,,0.4358,190.8882753,,2.197978848,2.274970177,,,2,freehand
30,204.4955306,26,,0.4556,204.4955306,,2.278350208,2.444385237,,,2,freehand
31,354.3305056,21,-37.00621888,0.6364,354.3305056,,,,80,12.01,2,freehand
32,312.6682536,11,,0.571,312.6682536,,2.284642697,2.457905991,,,2,freehand
33,259.6228018,56,-51.14244214,0.5159,259.6228018,,1.975248253,1.837266106,79,10.68,2,freehand
34,250.3214218,56,-22.83590006,0.4992,250.3214218,,1.311232692,0.809633049,79,5.8,2,freehand
35,136.3127077,12,-43.40756621,0.315,136.3127077,,,,,,2,freehand
36,229.0722077,36,-34.00603928,0.448,229.0722077,,2.181570831,2.241131433,,,2,freehand
37,162.4195007,14,-28.17793056,0.3555,162.4195007,,2.198261367,2.275555045,,,2,freehand
38,175.4707421,17,-26.43626983,0.3947,175.4707421,,,,,,2,freehand
39,193.1080208,41,-20.13900326,0.4122,193.1080208,,2.203920888,2.287287163,78,5.18,2,freehand
40,234.0720228,71,-38.48015223,0.4879,234.0720228,,1.789545335,1.508044303,,,2,freehand
41,160.3376812,29,-24.14519251,0.3526,160.3376812,,1.886950446,1.676678058,72,4.63,2,freehand
42,162.5574266,19,-22.44287506,0.4578,162.5574266,,1.785554569,1.50132579,,,2,freehand
43,297.5351926,61,-55.41043079,0.5612,297.5351926,,2.184631344,2.247423984,na,7.5,2,freehand
44,121.7313505,4,-58.72240293,,121.7313505,,2.053695653,1.986098842,,,2,freehand
45,173.9449365,23,-21.88163599,0.4154,173.9449365,,1.862862139,1.634143244,,4.74,2,freehand
46,152.7000326,9,-19.45169532,0.3424,152.7000326,,1.992458985,1.869422523,,,2,freehand
47,170.1950752,42,,,170.1950752,,1.954294759,1.798493304,85,,2,freehand
48,168.5313436,5,-21.12649236,0.3798,168.5313436,,2.049054085,1.977131403,74,4.79,2,freehand
49,192.4140809,7,-67.48552178,0.4402,192.4140809,,2.645777554,3.296365392,,,2,freehand
50,295.173211,73,,0.5443,295.173211,,2.393813559,2.698418685,63,12.72,2,freehand
51,184.9143583,43,-21.88163599,0.4042,184.9143583,,2.035201921,1.950489866,71,7.23,2,freehand
52,158.2515514,20,-19.45169532,0.3455,158.2515514,,1.749450781,1.441226197,61,7.43,2,freehand
53,,,,,,,,,,,2,freehand
54,128.1190453,24,-21.12649236,0.3142,128.1190453,,1.719967177,1.39305739,,,2,freehand
55,147.4243657,5,,0.3243,147.4243657,,,,,,2,freehand
56,172.0010428,34,,0.3728,172.0010428,,,,,,2,freehand
0,106.7362155,45,,2.4505,437.7412678,437.7412678,3.771648393,,83,11.26,2,anvil
1,,,,,,,,,,,2,anvil
2,374.1875298,31,-24.19793364,1.2875,248.1079079,248.1079079,1.812188356,1.546448144,86,9.58,2,anvil
